abort: 7X
above: 9M
accept: 2Z
activate: 5R
advance: 8K
aftershock: 3T
aid: 1L
air: 6P
airman: 4Q
airport: 0S
alert: 9D
ally: 7F
ambush: 2Y
ammo: 8G
anesthetic: 1H
antenna: 3U
antibiotic: 6V
antiviral: 4W
approach: 5X
arctic: 0A
area: 9B
armed: 2C
armor: 8D
artillery: 7E
ash: 1F
assemble: 3G
assess: 6H
assist: 4I
assistance: 5J
attack: 0K
avalanche: 9L
axe: 2M
back: 8N
backup: 7O
bacteria: 1P
bag: 3Q
bandage: 6R
base: 4S
basecamp: 5T
battery: 0U
below: 9V
belt: 2W
binoculars: 8X
biohazard: 7Y
blanket: 1Z
bleeding: 3A
blizzard: 6B
blockade: 4C
boil: 5D
boots: 0E
box: 9F
bridge: 2G
broadcast: 8H
building: 7I
bunker: 1J
burn: 3K
cable: 6L
camera: 4M
camp: 5N
canister: 0O
canyon: 9P
capture: 2Q
cargo: 8R
cast: 7S
cave: 1T
cease: 3U
center: 6V
check: 4W
checkpoint: 5X
chemical: 0Y
circle: 9Z
civilian: 2A
clear: 8B
cliff: 7C
close: 1D
cloud: 3E
cold: 6F
combat: 4G
command: 5H
commander: 0I
comply: 9J
confirm: 2K
contagion: 8L
contain: 7M
container: 1N
control: 3O
coordinate: 6P
corner: 4Q
cover: 5R
crate: 0S
crisis: 9T
crossroads: 2U
crosswind: 8V
cyclone: 7W
damage: 1X
danger: 3Y
dangerous: 6Z
database: 4A
dead: 5B
decontaminate: 0C
decoy: 9D
defend: 2E
delivery: 8F
deny: 7G
deploy: 1H
desert: 3I
detonator: 6J
detour: 4K
disease: 5L
disinfect: 0M
dispatch: 9N
disperse: 2O
distant: 8P
distribution: 7Q
dock: 1R
doctor: 3S
down: 6T
downpour: 4U
drizzle: 5V
drone: 0W
drought: 9X
dust: 2Y
earthquake: 8Z
east: 7A
edge: 1B
electric: 3C
emergency: 6D
enemy: 4E
engage: 5F
engineer: 0G
entrance: 9H
environmental: 2I
epidemic: 8J
eruption: 7K
escape: 1L
evacuate: 3M
evacuation: 6N
exit: 4O
explosive: 5P
extract: 0Q
fall: 9R
fatality: 2S
fiber: 8T
field: 7U
fire: 1V
first: 3W
flank: 6X
flare: 4Y
flashlight: 5Z
fleet: 0A
flood: 9B
fog: 2C
follow: 8D
food: 7E
footprint: 1F
force: 3G
forecast: 6H
forest: 4I
form: 5J
forward: 0K
fracture: 9L
freeze: 2M
freight: 8N
frequency: 7O
friendly: 1P
front: 3Q
frost: 6R
fuel: 4S
gale: 5T
gear: 0U
generator: 9V
gloves: 2W
goggles: 8X
gorge: 7Y
gown: 1Z
grassland: 3A
grenade: 6B
ground: 4C
gunner: 5D
gust: 0E
hail: 9F
hangar: 2G
harbor: 8H
hazard: 7I
heat: 1J
helipad: 3K
helmet: 6L
help: 4M
hidden: 5N
high: 0O
hill: 9P
hold: 2Q
holster: 8R
hostage: 7S
hostile: 1T
hot: 3U
humidity: 6V
hurricane: 4W
ice: 5X
immediate: 0Y
infantry: 9Z
infection: 2A
injured: 8B
injury: 7C
inside: 1D
intel: 3E
intercept: 6F
internet: 4G
investigate: 5H
island: 0I
jam: 9J
